	Neo.1	Neo.2	Neo.3	Week4.1	Week4.2	Week4.3	Year1.1	Year1.2	Month18.1	Month18.2
Tnfsf11	0	1.76720224461423	0	0	0	0	0.200441984328172	0	0.469666323026579	0
Tnfsf12	57.9549829402771	36.8018753100117	32.3789439275249	50.1041800041122	41.2481359686718	47.0762173612158	75.268140468705	69.6646599725069	89.2769570672423	95.6881054879515
Tnfsf13	1.12668681499897	2.56626586174419	0	0	1.96413913986937	3.80914859092332	0.636258894221717	1.74938753900038	2.24607483512115	3.35863782667317
Tnfsf13b	1.5233333318872	0	0	1.90733560464237	0.0228489545890714	2.41801644037527	19.9295122743473	21.5871125469228	21.5225314759529	18.7722095667596
Tnfsf14	0	0	0	0	0	0.675933969750537	0.553139690052433	0.452088914573132	1.10247754382643	2.80321722216127
Tnfsf15	0	0.0154025122321426	0	0	0	0.345473093592632	0.130084636099153	0.151885740345606	0.49364570251764	0.734275424430987
Tnfsf18	0	0	0	0	0	0	0	0	0.43323279743004	0
Tnfsf4	0	0	0	0	0	0	0	0	0	0
Tnfsf8	0	0	0	0	0	0	0.494945819608855	0.307006520533729	0	0
Tnfsf9	61.2364472176829	63.8943041044355	65.5089470335686	80.2439122134659	86.9632326243209	212.029873323109	97.8344915401714	87.7666306050199	241.643747466662	241.719787466164
Tnfsfm13	0	0	0	0	0	0	0	0	0	0
Tnik	3.32068640938686	5.94074644844249	7.42268095778259	9.00176974288764	8.04932291248558	13.4645417923524	6.95224808909412	12.1047792894218	8.00241018551965	11.5849555053883
Tnip1	45.9881822328901	28.3370358283347	39.2353065594641	27.9929257345127	38.1867406368062	35.8921436740891	42.1009330997845	47.7710746137001	41.2751308731311	46.8279935805339
Tnip2	52.8823404851676	40.4996445693176	25.6996335164183	49.2391726715716	62.8930375542112	66.9090825930384	34.0574522010111	35.7948181746533	42.6945374479324	59.1569326246264
Tnip3	0	0	0	0	0.607337216408159	0	0.22857921657115	0	0	0
Tnk1	0	0	0	2.62487635710539	0.0602446038699429	0.0245209741743741	1.08090710301768	1.13710190035025	1.53338437381504	2.79461126155556
Tnk2	56.3798159939414	48.1259345569974	66.3206249300503	67.6972377600824	57.2519686250959	59.5671790709825	39.8918524484793	34.9396340304084	33.3445546208424	46.1314680613276
Tnk2os	0	3.86921729693651	0	0.0567468435779847	0	0	0	0.346861322388007	0.698238766472703	0
Tnks	67.4890775923418	88.6235695655112	101.03205913003	34.9909280060139	41.9945276417437	35.0309742131913	27.2518980927372	26.4493061995234	24.4404892503379	25.2848424168833
Tnks1bp1	157.024800590579	153.290754551859	140.320507109411	165.288595978128	154.190963726959	151.856212756034	104.880877267349	117.830245775475	99.6268212345234	107.135463910992
